pilote;nb_q;nb_q2;nb_q3;nb_poles_q;best_q;moy_q;vsCoeq_q;nb_s;nb_top8_s;nb_podium_s;nb_win_s;best_s;moy_s;vsCoeq_s;nb_c;nb_top10_c;nb_podium_c;nb_win_c;best_c;moy_c;vsCoeq_c
RP1 Skyzzz;9;9;8;0;3;5.89;7;2;1;0;0;8;11.5;1;9;5;3;2;1;8.67;7
ERT Matfax;10;10;9;0;2;5.8;2;2;1;0;0;5;12.5;0;10;9;5;2;1;4.8;4
NoN4me Geckoz;10;10;10;3;1;2.8;8;2;2;1;0;2;3.0;2;10;9;5;1;1;4.2;6
RP1 Ice;10;10;8;0;3;7.9;9;2;1;0;0;6;9.5;1;10;8;2;0;2;6.8;8
NoN4me Cami;9;9;6;0;6;8.89;3;1;1;1;0;3;3.0;1;9;5;0;0;4;10.67;3
PuRa Jager;7;6;3;0;9;12.43;4;2;1;0;0;7;13.0;1;7;2;0;0;8;14.0;5
NoN4me Livai;7;7;5;0;6;9.57;2;2;0;0;0;10;10.5;0;7;3;0;0;6;11.43;1
PuR Ultraaa;9;8;2;0;6;12.67;5;2;0;0;0;9;10.5;1;9;2;0;0;5;15.22;3
FcT Coco;10;5;2;0;6;13.9;4;2;0;0;0;10;13.0;0;10;5;0;0;6;11.1;4
RP1 Durtom;5;1;0;0;13;17.6;0;1;0;0;0;11;11.0;0;5;1;0;0;9;12.2;0
STR Pagaa;7;6;2;0;10;12.86;5;2;1;0;0;8;14.0;1;7;4;0;0;5;11.57;5
ERT Karanox;10;8;4;0;5;11.8;8;2;1;0;0;7;10.0;2;10;5;0;0;5;10.7;5
Istoozen Eko;4;3;2;0;7;10.75;1;0;0;0;0;0;0;0;4;2;0;0;5;12.25;1
FcT Specktre;10;5;0;0;12;15.1;3;2;0;0;0;14;14.0;2;10;5;0;0;7;10.4;6
XRT Nico2a;8;1;0;0;12;17.12;2;2;0;0;0;17;17.5;0;8;2;0;0;9;14.12;4
MCR Papyx;1;0;0;0;19;19.0;0;0;0;0;0;0;0;0;1;0;0;0;14;14.0;1
Shadd;1;0;0;0;20;20.0;0;0;0;0;0;0;0;0;1;0;0;0;12;12.0;0
F1M AlexGT500;8;8;8;2;1;3.75;8;2;2;2;1;1;2.0;2;8;6;4;2;1;6.5;6
NoN4me Stuno;2;2;2;0;2;4.5;1;1;0;0;0;19;19.0;0;2;0;0;0;16;17.5;1
PuR Ilton;9;7;6;1;1;8.44;6;2;2;1;1;1;2.5;2;9;5;3;0;2;9.67;6
XRT Marth;3;2;0;0;14;15.0;0;1;0;0;0;12;12.0;1;3;0;0;0;19;19.67;0
WanBMT63;1;0;0;0;19;19.0;0;0;0;0;0;0;0;0;1;0;0;0;17;17.0;0
Tonati2514;1;0;0;0;19;19.0;0;0;0;0;0;0;0;0;1;0;0;0;16;16.0;1
pilote;nb_q;nb_q2;nb_q3;nb_poles_q;best_q;moy_q;vsCoeq_q;nb_s;nb_top8_s;nb_podium_s;nb_win_s;best_s;moy_s;vsCoeq_s;nb_c;nb_top10_c;nb_podium_c;nb_win_c;best_c;moy_c;vsCoeq_c
CRL Bikette;7;7;7;3;1;1.71;7;1;1;1;0;2;2.0;1;7;6;5;5;1;3.57;6
PuRa Chime;9;9;9;2;1;2.67;9;2;2;0;0;4;5.0;2;9;5;3;1;1;9.22;5
ECS Flower;6;6;3;0;3;9.5;5;2;0;0;0;15;17.0;0;6;1;0;0;4;15.0;1
aRAC Zer;8;8;8;0;4;5.88;8;2;1;1;0;3;10.0;1;8;6;3;0;2;6.62;8
JNPJD;10;9;8;0;4;8.4;5;2;0;0;0;19;19.5;1;10;9;2;0;2;6.4;4
NoN4me Lucas;9;7;3;0;6;12.33;0;2;1;0;0;8;11.0;0;9;5;1;0;3;10.22;4
MVT Kaio;9;7;5;0;6;10.78;3;2;1;0;0;7;8.5;0;9;5;0;0;5;9.67;4
LePtit03;10;8;1;0;8;12.6;7;2;0;0;0;13;15.0;0;10;2;0;0;5;13.9;2
MVT Fly;9;9;6;0;3;8.67;7;2;2;0;0;5;6.0;2;9;4;0;0;5;11.33;5
Emeric;9;9;8;1;1;7.44;4;2;0;0;0;11;15.5;1;9;8;4;2;1;5.56;5
