Oli0055#6847;794;FcT Theo;100;LDL Oli;82;Haas D1 02;54;VRT Tribion;16;MVT Thomas;44;XRT Baka;-5;ERT Aurelius;67;SKS Flyart;10;Non4me Sanzz;5;Non4me Pagaa;71;RP1 Owain;66;XRT Alpha;30
Le Grinch#7237;793;FcT Adam;50;McLaren D1 02;28;MCR Jayrko;100;VRT Tribion;16;O2 Oxygen;110;MCR Skriniar;54;Knacki Ball;0;RP1 Gachette;64;MCR Papyx;109;Non4me Pagaa;71;RP1 Ice;10;X7PK KaranoX;44
ERT Niloboo#4074;770;ERT Niloboo;55;LDL Oli;82;PuR Rosberg;72;ERT BatXone;43;MVT Thomas;44;MCR Skriniar;54;LDL Shermy;42;ERT Matfax;0;ERT Mirage;35;ERT iQuaZz;47;RP1 Owain;66;ERT Ricky;43
ERT Aurelius#7215;763;ERT Niloboo;55;Vinboy;79;PuR Rosberg;72;VRT Tribion;16;MVT Thomas;44;MCR Skriniar;54;ERT Aurelius;67;Non4me Geckozz;16;ERT Mirage;35;ERT iQuaZz;47;LTR Coach;50;ERT Ricky;43
OXYG3N ?? #0970;753;RP1 Winterr;15;PuR Voltha;30;PuR Rosberg;72;PuR Racing;-3;O2 Oxygen;110;PuR Ilton;44;ERT Aurelius;67;RP1 Gachette;64;EroziaH SPL;-11;RP1 Durtom;103;RP1 Owain;66;TX3 Soap;14
PuRVarane#7856;744;FcT Theo;100;McLaren D1 02;28;PuR Rosberg;72;VRT Tribion;16;PuR Vincent;11;XRT Baka;-5;Non4me Cami;72;Non4me Geckozz;16;MCR Papyx;109;ERT iQuaZz;47;RP1 Owain;66;ERT Redevils;-23
ERT BatXone #8529;743;ERT Niloboo;55;McLaren D1 02;28;PuR Rosberg;72;ERT BatXone;43;MVT Thomas;44;XRT Baka;-5;ERT Aurelius;67;Non4me Geckozz;16;PuR Nygraal;55;ERT iQuaZz;47;RP1 Owain;66;ERT Ricky;43
LTR COACH#9830;731;FcT Theo;100;PuR Varane;46;PuR Rosberg;72;VRT Tribion;16;PuR Vincent;11;Legion Tomoe;98;Knacki Ball;0;RP1 Gachette;64;ERT Mirage;35;ERT iQuaZz;47;LTR Coach;50;Non4me Jordy;29
MCR JayRKO#5703;716;FcT Adam;50;McLaren D1 02;28;PuR Rosberg;72;PuR Racing;-3;PuR Vincent;11;PuR Ilton;44;ERT Aurelius;67;Soo Skyzzz;2;MCR Papyx;109;Non4me Pagaa;71;RP1 Owain;66;TX3 Soap;14
RP1 Gachette#9691;699;FcT Adam;50;RP1 Okwaru;29;MCR Jayrko;100;RaavenBZH;74;MVT Thomas;44;PuR Ilton;44;ERT Aurelius;67;SKS Flyart;10;ERT Mirage;35;Yozana;34;RP1 Ice;10;ERT Redevils;-23
VMLF Zer#4123;698;ERT Niloboo;55;PuR Varane;46;MCR Jayrko;100;ERT BatXone;43;PuR Vincent;11;BenBdBy;-24;ERT Aurelius;67;Non4me Geckozz;16;VMLF Zer;42;ERT Tiiste;95;RP1 Ice;10;ERT Redevils;-23
RP1 Ice#2372;694;RP1 Winterr;15;McLaren D1 02;28;XRT Arthur;78;RP1 Virlix;29;MVT Thomas;44;Haas D2 02;30;ECS Finesse;75;Non4me Geckozz;16;RP1 Fifi;61;Non4me Pagaa;71;RP1 Ice;10;RP1 Lito;47
AlexGT500 GAME#2172;687;FcT Theo;100;PuR Varane;46;Haas D1 01;72;VRT Tribion;16;PuR Vincent;11;PuR Ilton;44;Knacki Ball;0;Soo Skyzzz;2;VMLF Zer;42;Non4me Pagaa;71;RP1 Owain;66;XRT Alpha;30
Woodylejouet#6399;672;RP1 Winterr;15;RP1 Okwaru;29;PuR Rosberg;72;ERT BatXone;43;O2 Oxygen;110;BenBdBy;-24;Knacki Ball;0;RP1 Gachette;64;VMLF Zer;42;RP1 Durtom;103;RP1 Ice;10;RP1 Lito;47
RP1 Fifou#8771;669;ERT Niloboo;55;RP1 Okwaru;29;MCR Jayrko;100;VRT Tribion;16;MVT Thomas;44;BenBdBy;-24;Knacki Ball;0;RP1 Gachette;64;MCR Papyx;109;Yozana;34;LTR Coach;50;RP1 Fifou;87
PuR Ilton#1432;668;FcT Theo;100;RP1 Okwaru;29;PuR Rosberg;72;VRT Tribion;16;AfT Lowky;78;PuR Ilton;44;LDL Shermy;42;ERT Matfax;0;EroziaH SPL;-11;Yozana;34;LTR Coach;50;PuR Ultraaa;22
RP1 Papash #1147;661;RP1 Winterr;15;RP1 Okwaru;29;PuR Rosberg;72;RaavenBZH;74;MVT Thomas;44;AlexGT500;-20;ERT Aurelius;67;RP1 Gachette;64;iF1 Supr3me;-4;Yozana;34;RP1 Owain;66;XRT Alpha;30
RP1 Virlix #2107;650;FcT Theo;100;McLaren D1 02;28;PuR Rosberg;72;VRT Tribion;16;MVT Thomas;44;BenBdBy;-24;Non4me Cami;72;Soo Skyzzz;2;Non4me Sanzz;5;ERT iQuaZz;47;Jancker21;23;XRT Alpha;30
RP1 Okwaru#9095 ;649;FcT Adam;50;RP1 Okwaru;29;PuR Rosberg;72;PuR Racing;-3;MVT Thomas;44;Haas D2 02;30;ECS Finesse;75;SKS Flyart;10;PuR Nygraal;55;Yozana;34;RP1 Ice;10;RP1 Fifou;87
FcT Adam #6474;633;FcT Adam;50;LDL Oli;82;PuR Rosberg;72;RaavenBZH;74;MVT Thomas;44;AlexGT500;-20;LDL Shermy;42;Soo Skyzzz;2;EroziaH SPL;-11;Yozana;34;LTR Coach;50;TX3 Soap;14
JNPJD#6703;619;FcT Theo;100;PuR Voltha;30;PuR Rosberg;72;PuR Racing;-3;MVT Thomas;44;Haas D2 02;30;Knacki Ball;0;RP1 Gachette;64;VMLF Zer;42;Yozana;34;LTR Coach;50;IS Honoka;25
SHZ Noctis #8461 ;604;FcT Theo;100;McLaren D1 02;28;XRT Arthur;78;RP1 Virlix;29;PuR Vincent;11;AlexGT500;-20;ECS Finesse;75;SKS Flyart;10;PuR Marth;-32;Yozana;34;RP1 Ice;10;ERT Ricky;43
PuR Ultraaa#9615;592;FcT Theo;100;RP1 Okwaru;29;PuR Rosberg;72;VRT Tribion;16;MVT Thomas;44;PuR Ilton;44;LDL Shermy;42;RP1 Gachette;64;PuR Marth;-32;Yozana;34;RP1 Ice;10;ERT Redevils;-23
ERT Matfax#0803;580;ERT Niloboo;55;McLaren D1 02;28;MCR Path;44;RP1 Virlix;29;MVT Thomas;44;AlexGT500;-20;ERT Aurelius;67;ERT Matfax;0;ERT Mirage;35;ERT iQuaZz;47;RP1 Ice;10;ERT Ricky;43
PuR Tomi #3009;550;FcT Adam;50;McLaren D1 02;28;XRT Arthur;78;VRT Tribion;16;XRT Darkfly;95;AlexGT500;-20;Knacki Ball;0;RP1 Gachette;64;PuR Marth;-32;Yozana;34;LTR Coach;50;RP1 Fifou;87
SkS FlYArT#5679;414;RP1 Winterr;15;RP1 Okwaru;29;PuR Rosberg;72;PuR Racing;-3;MVT Thomas;44;PuR Ilton;44;Knacki Ball;0;SKS Flyart;10;ERT Mirage;35;Yozana;34;RP1 Owain;66;PuR Ultraaa;22
